Row, Timestamp, RawData
1,30028500, 0x73EB490A000200008000000000000000000000000000000000000000000000000000000000000000000000284565FD1C
2,30030434, 0x73EB290A0002000000800000000000000000000000000000000000000000000000000000000000000000002898CE6448
3,30030875, 0x73EC4F0A0002000000000000000000000000000000000000000000000000000000000000000000000000002848EBCABB
4,30033434, 0x73EC2F0A000200000000000000000000000000000000000000000000000000000000000000000000000000282F8324B5
5,30034000, 0x73ED490A0083000080000000000000000000000000000000000000000000000000000000000000000000002833C3E25E
6,30036434, 0x73ED290A00830000008000414C434C0000000000000000000000000000000000000000000000000000000028198957FD
7,30036875, 0x73EE4D0A000200000000000000000000000000000000000000000000000000000000000000000000000000288D093E2A
8,30105434, 0x73EE2D0A0002000001F700000000000000000000000000000000000000000000000000000000000000000028B66FA7C7
9,30105875, 0x73EF4E0A00020000000000000000000000000000000000000000000000000000000000000000000000000028703D518B
10,30108434, 0x73EF2E0A0002000000070000F00056312E302E31305031305434200000000100000000000000000000000028603A7545
11,30108875, 0x73F04E0A000200000001000000000000000000000000000000000000000000000000000000000000000000289F81EF64
12,30111434, 0x73F02E0A0002000000070001F00056312E302E3130503954312000000101010000000000000000000000002853B0252C
13,30111875, 0x73F14E0A000200000002000000000000000000000000000000000000000000000000000000000000000000281E3E4D01
14,30114434, 0x73F12E0A00020000FF140000000000000000000000000000000000000000000000000000000000000000002829176683
15,30114875, 0x73F24E0A00020000000300000000000000000000000000000000000000000000000000000000000000000028F12E99E0
16,30117434, 0x73F22E0A0002000000350201FFE0000000000000000000000000000000000000000000000000000000000028B215D8D6
17,30117875, 0x73F34E0A000200000004000000000000000000000000000000000000000000000000000000000000000000281980147C
18,30120434, 0x73F32E0A0002000000350202FFE0000000000000000000000000000000000000000000000000000000000028A5562549
19,30120875, 0x73F44E0A0002000000050000000000000000000000000000000000000000000000000000000000000000002842DF026C
20,30123434, 0x73F42E0A00020000008D0201F8000000000000000000000000000000000000000000000000000000000000286A497D76
21,30124000, 0x73F54E0A00020000000600000000000000000000000000000000000000000000000000000000000000000028C360A009
22,30126434, 0x73F52E0A00020000008D02010400000000000000000000000000000000000000000000000000000000000028DBA31242
23,30126875, 0x73F64E0A000200000007000000000000000000000000000000000000000000000000000000000000000000282C7074E8
24,30129434, 0x73F62E0A00020000008D0201020000000000000000000000000000000000000000000000000000000000002883C1AF19
25,30129875, 0x73F74E0A0002000000080000000000000000000000000000000000000000000000000000000000000000002816FCA686
26,30132434, 0x73F72E0A00020000008D0202F800000000000000000000000000000000000000000000000000000000000028A54DEF4A
27,30132875, 0x73F84E0A0002000000090000000000000000000000000000000000000000000000000000000000000000002821FD28C3
28,30135434, 0x73F82E0A00020000008D0202040000000000000000000000000000000000000000000000000000000000002814F1B579
29,30136125, 0x73F94E0A00020000000A00000000000000000000000000000000000000000000000000000000000000000028A0428AA6
30,30138434, 0x73F92E0A00020000008D0202020000000000000000000000000000000000000000000000000000000000002894D46781
31,30138875, 0x73FA4E0A00020000000B000000000000000000000000000000000000000000000000000000000000000000284F525E47
32,30141434, 0x73FA2E0A00020000008A0000FE0001010000000F01FFFF0000000000000000000000000000000000000000288E4CC454
33,30141875, 0x73FB4E0A00020000000C00000000000000000000000000000000000000000000000000000000000000000028A7FCD3DB
34,30144434, 0x73FB2E0A00020000008A000001000000000000000000000000000000000000000000000000000000000000281E6BA1AF
35,30144875, 0x73FC4E0A00020000000D00000000000000000000000000000000000000000000000000000000000000000028FCA3C5CB
36,30147434, 0x73FC2E0A0002000001000000C0005A54454756312E3000000000000000000000000000000000000000000028ABFA7B2A
37,30147875, 0x73FD4E0A00020000000E000000000000000000000000000000000000000000000000000000000000000000287D1C67AE
38,30150434, 0x73FD2E0A00020000010000003F805A5445470605676B00000000000000000000000000000000000000000028B5650EE3
39,30150875, 0x73FE4E0A00020000000F00000000000000000000000000000000000000000000000000000000000000000028920CB34F
40,30153434, 0x73FE2E0A0002000001010000F8004636363041000000000000000000000000000000A00000010100000000282B01DED1
41,30153875, 0x73FF4E0A000200000010000000000000000000000000000000000000000000000000000000000000000000280805C372
